x,XSin(x)
93,-88.190239
93.1,-84.893672
93.2,-80.740678
93.3,-75.770977
93.4,-70.032547
93.5,-63.581164
93.6,-56.479859
93.7,-48.798304
93.8,-40.612128
93.9,-32.002171
94,-23.053687
94.1,-13.855501
94.2,-4.499127
94.3,4.922145
94.4,14.314176
94.5,23.58292
94.6,32.635367
94.7,41.380472
94.8,49.730078
94.9,57.599795
95,64.909863
95.1,71.585952
95.2,77.559922
95.3,82.770517
95.4,87.163993
95.5,90.694671
95.6,93.325411
95.7,95.028005
95.8,95.783472
95.9,95.582273
96,94.424424
96.1,92.319514
96.2,89.286633
96.3,85.354197
96.4,80.559685
96.5,74.949281
96.6,68.577432
96.7,61.506317
96.8,53.805244
96.9,45.549969
97,36.821951
97.1,27.707547
97.2,18.297163
97.3,8.684349
97.4,-1.035122
97.5,-10.764217
97.6,-20.405604
97.7,-29.86263
97.8,-39.040289
97.9,-47.846178
98,-56.191423
98.1,-63.991581
98.2,-71.16749
98.3,-77.646075
98.4,-83.36109
98.5,-88.253798
98.6,-92.27357
98.7,-95.378412
98.8,-97.535401
98.9,-98.721032
99,-98.921477
99.1,-98.132735
99.2,-96.360701
99.3,-93.62112
99.4,-89.939452
99.5,-85.350637
99.6,-79.898764
99.7,-73.636648
99.8,-66.625318
99.9,-58.933424
100,-50.636564
