"x","y","z"
1.456209, 0.993442 , 0.993442
1.459361, 0.993797 , 0.993797
1.462513, 0.994143 , 0.994143
1.465665, 0.994479 , 0.994479
1.468817, 0.994805 , 0.994805
1.471969, 0.995121 , 0.995121
1.475121, 0.995427 , 0.995427
1.478273, 0.995723 , 0.995723
1.481424, 0.996009 , 0.996009
1.484576, 0.996285 , 0.996285
1.487728, 0.996552 , 0.996552
1.490880, 0.996808 , 0.996808
1.494032, 0.997055 , 0.997055
1.497184, 0.997292 , 0.997292
1.500336, 0.997519 , 0.997519
1.503488, 0.997736 , 0.997736
1.506640, 0.997943 , 0.997943
1.509792, 0.998140 , 0.998140
1.512944, 0.998327 , 0.998327
1.516096, 0.998504 , 0.998504
1.519248, 0.998672 , 0.998672
1.522400, 0.998829 , 0.998829
1.525552, 0.998977 , 0.998977
1.528704, 0.999114 , 0.999114
1.531856, 0.999242 , 0.999242
1.535008, 0.999360 , 0.999360
1.538160, 0.999467 , 0.999467
1.541312, 0.999565 , 0.999565
1.544464, 0.999653 , 0.999653
1.547616, 0.999731 , 0.999731
1.550768, 0.999799 , 0.999799
1.553920, 0.999858 , 0.999858
1.557072, 0.999906 , 0.999906
1.560224, 0.999944 , 0.999944
1.563376, 0.999972 , 0.999972
1.566528, 0.999991 , 0.999991
1.569680, 0.999999 , 0.999999
1.572832, 0.999998 , 0.999998
1.575983, 0.999987 , 0.999987
1.579135, 0.999965 , 0.999965
1.582287, 0.999934 , 0.999934
1.585439, 0.999893 , 0.999893
1.588591, 0.999842 , 0.999842
1.591743, 0.999781 , 0.999781
1.594895, 0.999710 , 0.999710
1.598047, 0.999629 , 0.999629
1.601199, 0.999538 , 0.999538
1.604351, 0.999437 , 0.999437
1.607503, 0.999326 , 0.999326
1.610655, 0.999206 , 0.999206
1.613807, 0.999075 , 0.999075
1.616959, 0.998935 , 0.998935
1.620111, 0.998784 , 0.998784
1.623263, 0.998624 , 0.998624
1.626415, 0.998454 , 0.998454
1.629567, 0.998274 , 0.998274
1.632719, 0.998083 , 0.998083
1.635871, 0.997883 , 0.997883
1.639023, 0.997673 , 0.997673
1.642175, 0.997454 , 0.997454
1.645327, 0.997224 , 0.997224
1.648479, 0.996984 , 0.996984
1.651631, 0.996735 , 0.996735
1.654783, 0.996475 , 0.996475
1.657935, 0.996206 , 0.996206
1.661087, 0.995927 , 0.995927
1.664239, 0.995637 , 0.995637
1.667391, 0.995338 , 0.995338
1.670543, 0.995029 , 0.995029
1.673694, 0.994711 , 0.994711
1.676846, 0.994382 , 0.994382
1.679998, 0.994043 , 0.994043
1.683150, 0.993695 , 0.993695
1.686302, 0.993337 , 0.993337
1.689454, 0.992968 , 0.992968
1.692606, 0.992590 , 0.992590
1.695758, 0.992202 , 0.992202
1.698910, 0.991805 , 0.991805
1.702062, 0.991397 , 0.991397
1.705214, 0.990980 , 0.990980
1.708366, 0.990552 , 0.990552
1.711518, 0.990115 , 0.990115
1.714670, 0.989668 , 0.989668
1.717822, 0.989211 , 0.989211
1.720974, 0.988745 , 0.988745
1.724126, 0.988268 , 0.988268
1.727278, 0.987782 , 0.987782
1.730430, 0.987286 , 0.987286
1.733582, 0.986780 , 0.986780
1.736734, 0.986264 , 0.986264
1.739886, 0.985738 , 0.985738
1.743038, 0.985203 , 0.985203
1.746190, 0.984658 , 0.984658
1.749342, 0.984103 , 0.984103
1.752494, 0.983538 , 0.983538
1.755646, 0.982964 , 0.982964
1.758798, 0.982380 , 0.982380
1.761950, 0.981786 , 0.981786
1.765102, 0.981182 , 0.981182
1.768253, 0.980569 , 0.980569
1.771405, 0.979945 , 0.979945
1.774557, 0.979312 , 0.979312
1.777709, 0.978670 , 0.978670
1.780861, 0.978017 , 0.978017
1.784013, 0.977355 , 0.977355
1.787165, 0.976683 , 0.976683
1.790317, 0.976002 , 0.976002
1.793469, 0.975311 , 0.975311
1.796621, 0.974610 , 0.974610
1.799773, 0.973899 , 0.973899
1.802925, 0.973179 , 0.973179
1.806077, 0.972449 , 0.972449
1.809229, 0.971709 , 0.971709
1.812381, 0.970960 , 0.970960
1.815533, 0.970201 , 0.970201
1.818685, 0.969433 , 0.969433
1.821837, 0.968654 , 0.968654
1.824989, 0.967867 , 0.967867
1.828141, 0.967069 , 0.967069
1.831293, 0.966262 , 0.966262
1.834445, 0.965446 , 0.965446
1.837597, 0.964619 , 0.964619
1.840749, 0.963784 , 0.963784
1.843901, 0.962938 , 0.962938
1.847053, 0.962083 , 0.962083
1.850205, 0.961219 , 0.961219
1.853357, 0.960345 , 0.960345
1.856509, 0.959461 , 0.959461
1.859661, 0.958568 , 0.958568
1.862812, 0.957665 , 0.957665
1.865964, 0.956753 , 0.956753
1.869116, 0.955832 , 0.955832
1.872268, 0.954900 , 0.954900
1.875420, 0.953960 , 0.953960
1.878572, 0.953010 , 0.953010
1.881724, 0.952050 , 0.952050
1.884876, 0.951081 , 0.951081
1.888028, 0.950103 , 0.950103
1.891180, 0.949115 , 0.949115
1.894332, 0.948117 , 0.948117
1.897484, 0.947110 , 0.947110
1.900636, 0.946094 , 0.946094
1.903788, 0.945069 , 0.945069
1.906940, 0.944034 , 0.944034
1.910092, 0.942989 , 0.942989
1.913244, 0.941936 , 0.941936
1.916396, 0.940872 , 0.940872
1.919548, 0.939800 , 0.939800
1.922700, 0.938718 , 0.938718
1.925852, 0.937627 , 0.937627
1.929004, 0.936527 , 0.936527
1.932156, 0.935417 , 0.935417
1.935308, 0.934298 , 0.934298
1.938460, 0.933170 , 0.933170
1.941612, 0.932032 , 0.932032
1.944764, 0.930885 , 0.930885
1.947916, 0.929729 , 0.929729
1.951068, 0.928564 , 0.928564
1.954220, 0.927389 , 0.927389
1.957372, 0.926206 , 0.926206
1.960523, 0.925013 , 0.925013
1.963675, 0.923811 , 0.923811
1.966827, 0.922599 , 0.922599
1.969979, 0.921379 , 0.921379
1.973131, 0.920149 , 0.920149
1.976283, 0.918910 , 0.918910
1.979435, 0.917663 , 0.917663
1.982587, 0.916405 , 0.916405
1.985739, 0.915139 , 0.915139
1.988891, 0.913864 , 0.913864
1.992043, 0.912580 , 0.912580
1.995195, 0.911286 , 0.911286
1.998347, 0.909984 , 0.909984
2.001499, 0.908673 , 0.908673
2.004651, 0.907352 , 0.907352
2.007803, 0.906023 , 0.906023
2.010955, 0.904684 , 0.904684
2.014107, 0.903337 , 0.903337
2.017259, 0.901980 , 0.901980
2.020411, 0.900615 , 0.900615
2.023563, 0.899240 , 0.899240
2.026715, 0.897857 , 0.897857
2.029867, 0.896465 , 0.896465
2.033019, 0.895064 , 0.895064
2.036171, 0.893654 , 0.893654
2.039323, 0.892235 , 0.892235
2.042475, 0.890807 , 0.890807
2.045627, 0.889370 , 0.889370
2.048779, 0.887925 , 0.887925
2.051931, 0.886471 , 0.886471
2.055082, 0.885008 , 0.885008
2.058234, 0.883536 , 0.883536
2.061386, 0.882055 , 0.882055
2.064538, 0.880566 , 0.880566
2.067690, 0.879067 , 0.879067
2.070842, 0.877561 , 0.877561
